5483AA|Hercules - The Legendary Journeys|Hercules : The Legendary Journeys||Action,Action / Adventure,|1||Player 1|Player 1 - Titus|2000
5498AA|Hexen|Hexen||Action,Shooter,Shooter / 1st person,|4||Raven Software|GT Interactive - id Software|1997
5564AA|Hey You Pikachu !|Hey You, Pikachu!||Simulation,Fight,|1||Ambrella|Creatures - Game Freak - Nintendo|1998
59520A|Eltale Monsters|Quest 64||Action,Role playing games,|1||Imagineer|Imagineer|1998
5606AA|Hot Wheels - Turbo Racing|Hot Wheels : Turbo Racing|Hot Wheels Turbo Racing|Race, Driving,|2||Stormfront Studios|Electronic Arts|1999
5470AA|Hybrid Heaven|Hybrid Heaven||Role playing games,|2||Konami|Konami|1999
5574AA|Hydro Thunder|Hydro Thunder||Sports,Race, Driving,|4||Midway|Eurocom|2000
59530A|Ide Yosuke No Mahjong Juku|Ide Yosuke no Mahjong Juku||Race, Driving,Mahjong,Asiatic board game,|2||SETA Corporation|SETA Corporation|2000
5577AA|Iggy's Reckin' Balls|Iggy's Reckin' Balls||Race, Driving,Adventure,|4||Iguana Entertainment|Acclaim Entertainment|1998
5707AA|In-fisherman - Bass Hunter 64|In-Fisherman: Bass Hunter 64|In-Fisherman Bass Hunter 64|Hunting and Fishing,Fishing,|2||Gear Head Entertainment|Take 2 Interactive|1999
5463AA|Indiana Jones And The Infernal Machine|Indiana Jones and the Infernal Machine||Adventure,Action,Action / Adventure,|1||Nintendo|LucasArts|2000
5713AA|Indy Racing 2000|Indy Racing 2000||Race, Driving,|2||Paradigm Entertainment|Infogrames|2000
5485AA|International Superstar Soccer '98|International Superstar Soccer '98||Sports,Sports / Soccer,|4|Coop|KCEO|Konami|1998
5490AA|International Superstar Soccer 2000|International Superstar Soccer 2000||Sports,Sports / Soccer,|4|Coop|KCEO|Konami|1999
5517AA|International Superstar Soccer 64|International Superstar Soccer 64||Sports,Sports / Soccer,|4||KCEO|Konami|1996
5602AA|International Track And Field - Summer Games|International Track & Field 2000||Sports,|4||Konami|Konami|2000
