150965|16-in-1 Super Card|16-in-1 Super Card||,Compilation|||||
66240A|Chiki Chiki Tengoku|Chiki Chiki Tengoku||Puzzle,||||J-Wing|1995
66242A|Chikyuu Kaihou Gun Zas|Chikyuu Kaihou Gun ZAS||Shoot'em up / Vertical,Shoot'em Up,|1||T&E Soft|T&E Soft|1992
66250A|Choplifter 2 - Rescue And Survive|Choplifter II - Rescue & Survive||Various,|2||Beam Software|JVC Musical Industries, Inc.|1991
3463AA|Choplifter 3|Choplifter III|Choplifter II|Shoot'em Up,Action,|2||Ocean|Beam Software|1993
66255A|Chou Majin Eiyuuden - Wataru Mazekko Monster|Chou Mashin Eiyuu Den Wataru - Mazekko Monster|||||Alpha Unit|Banpresto|1997
66256A|Chou Majin Eiyuuden - Wataru Mazekko Monster 2|Chou Mashin Eiyuu Den Wataru - Mazekko Monster 2|||||Alpha Unit|Banpresto|1998
66257A|Chousoku Spinner|Chousoku Spinner||||||Hudson Soft|1998
3502AA|Chuck Rock|Chuck Rock||Action,Platform|2||Core Design Ltd.|Sony Electronic Publishing Ltd.|1991
66271A|Cliffhanger|Cliffhanger||Action,Platform|2||Malibu Interactive|Sony Imagesoft|1993
66282A|Collection Pocket|Collection Pocket||,Arcade||||Naxat Soft|1997
3570AA|College Slam|College Slam||Sports,|1||Torus Games Pty. Ltd.|Acclaim Entertainment, Inc.|1996
66307A|Contra|Contra||Action|||Konami Industry Co. Ltd.|Erbe Software, S.A.|1987
3324AA|Contra - The Alien Wars|Contra : The Alien Wars||Action|1||Konami|Konami|1994
66309A|Contra Spirits|Contra Spirits||,Action|||||
66311A|Cool Ball|Cool Ball||Puzzle-Game,Action,|1||Loriciel SA|TAKARA U.S.A. CORP.|1991
66313A|Cool Hand|Cool Hand||Action,Casino|1||Tarantula Studios|Take-Two Interactive|1998
3267AA|Cool Spot|Cool Spot||Sports,Action,|1||Virgin Games, Ltd.|Virgin Interactive Entertainment, Inc.|1993
70558A|Spot|Spot|Cool Spot|Strategy,Platform,Puzzle-Game,|2||Software Creations Ltd.|Arcadia Systems|1990
70560A|Spot - The Cool Adventure|Spot - The Cool Adventure||Platform,|||Virgin Interactive|Virgin Interactive|
66314A|Cool World|Cool World||Action,Arcade|1||Ocean Software Ltd.|Ocean Software Ltd.|1993
66317A|Cosmo Tank|Cosmo Tank||Shoot'em Up,Action,|1||Atlus Co., Ltd.|Asuka Technologies, Inc.|1990
155542|Crash|Crash|Catrap|,Action|||Digital Nightmares|Digital Nightmares|
66330A|Crayon Shin-chan - Ora No Gokigen Collection|Crayon Shin-chan - Ora no Gokigen Collection|||||||
66331A|Crayon Shin-chan - Ora To Shiro Wa Otomodachi Da Yo|Crayon Shin-chan - Ora to Shiro wa Otomodachi Da y|||||||
66324A|Crayon Shin-chan 2 - Ora To Wanpaku Gokko Dazo|Crayon Shin-chan 2 - Ora to Wanpaku Gokko Dazo|||||||
66325A|Crayon Shin-chan 3 - Ora No Gokigen Athletic|Crayon Shin-chan 3 - Ora no Gokigen Athletic||,Arcade|||||
66328A|Crayon Shin-chan 4 - Ora No Itazura Daihenshin|Crayon Shin-chan 4 - Ora no Itazura Daihenshin|||||||
109049|Crazy Burger|Crazy Burger||,Arcade|||Sachen|eGames, Inc.|1991
3522AA|Crystal Quest|Crystal Quest||Action,Adventure,|2||Casady & Greene|Pocket Money Software|1985
66348A|Cult Jump|Cult Jump||,RPG|||Sun L|Bandai|1993
66350A|Cult Master - Ultraman Ni Miserarete|Cult Master - Ultraman ni Miserarete||,Quiz|||||
66351A|Cutthroat Island|Cutthroat Island||Action|1||Software Creations Ltd.|Acclaim Entertainment, Inc.|1995
3680AA|Cyraid|Cyraid||Various,Action,|2||Sakata SAS Co., Ltd.|NEXOFT Corporation|1991
3681AA|Daedalian Opus|Daedalian Opus|Daedalean Opus|Action,Puzzle-Game,|1||Vic Tokai Corporation|Vic Tokai, Inc.|1990
66362A|Daffy Duck|Daffy Duck||Platform,Action,|1||Sun Corporation|Sun Corporation|1994
66366A|Dai-2-ji Super Robot Taisen G|Dai-2-ji Super Robot Taisen G||Strategy,|1||Banpresto|Banpresto|1995
66367A|Daikaijuu Monogatari - Miracle Of The Zone|Daikaijuu Monogatari - The Miracle of the Zone|||||Birthday|Hudson|1998
66369A|Daiku No Gen-san - Ghost Building Company|Daiku no Gen-san - Ghost Building Company|||||||
66371A|Daiku No Gen-san - Robot Teikoku No Yabou|Daiku no Gen-san - Robot Teikoku no Yabou|||||||
66372A|Daisenryaku|Daisenryaku||Strategy,|2||Systemsoft|Hiro Co., Ltd.|1991
109042|Dan Laser|Dan Laser||,Shooter|||||
3672AA|Darkman|Darkman||Fight,Action,|1||Ocean Software Ltd.|Ocean Software Ltd.|1992
3206AA|Darkwing Duck|Darkwing Duck||Action,Platform|1||Capcom|Capcom|1993
3674AA|Days Of Thunder|Days of Thunder||Race, Driving,|1||Argonaut Software Ltd.|Mindscape, Inc.|1992
3682AA|Dead Heat Scramble|Dead Heat Scramble||Race, Driving,|2||Copya System Ltd.|Electro Brain Corp.|1990
109191|Deep - Final Mission|Deep - Final Mission||,Shooter|||||
66407A|Dennis The Menace|Dennis the Menace||Action,Platform|1||Ocean Software Ltd.|Ocean Software Ltd.|1993
3192AA|Desert Strike - Return To The Gulf|Desert Strike : Return to the Gulf||Puzzle-Game,|1||Electronic Arts|Electronic Arts|1992
66411A|Dexterity|Dexterity||Action,Arcade|2||SNK Corporation|SNK Corporation of America|1990
66413A|Diablo|Diablo||Role-Playing,|1||Blizzard Entertainment Inc.|Blizzard Entertainment Inc.|
3509AA|Dick Tracy|Dick Tracy||Action,Fighter|1||Realtime Associates, Inc.|Bandai America, Inc.|1990
66416A|Dig Dug|Dig Dug||Action,Arcade|1||Namco Limited|Namco Limited|1992
66425A|Dino Breeder|Dino Breeder|Dino Breeder 2|Life Simulation,|||Digital Kids|J-Wing|1997
66426A|Dino Breeder 2|Dino Breeder 2||,Breeding|||Digital Kids|J-Wing|1998
66430A|Dirty Racing|Dirty Racing||Racing,|1||Gremlin Interactive|Jaleco Entertainment|1993
3071AA|Disney's Ducktales 2|Disney's DuckTales 2||Platform,Action,|1||Capcom Co., Ltd.|Capcom U.S.A., Inc.|1991
66450A|Dodge Boy|Dodge Boy||Sports,|||TOSE|Tonkin House|1991
3088AA|Donkey Kong|Donkey Kong||Action,Arcade|1||Nintendo Co., Ltd.|Nintendo Co., Ltd.|1981
3016AA|Donkey Kong Land|Donkey Kong Land|Donkey Kong Land 2|Puzzle-Game,Action,|1||Rare, Ltd.|Nintendo of America Inc.|1995
3043AA|Donkey Kong Land 2|Donkey Kong Land 2||Action,Platform|1||Rare, Ltd.|Nintendo of America Inc.|1996
3148AA|Donkey Kong Land 3|Donkey Kong Land III|Donkey Kong Land|Action,Platform|1||Rareware|Nintendo|1997
66467A|Doraemon 2 - Animal Planet Densetsu|Doraemon 2 - Animal Planet Densetsu|||||||
66469A|Doraemon Kart|Doraemon Kart||Racing,|1||Epoch|Epoch|1998
66472A|Doraemon No Game Boy De Asobouyo Deluxe 10|Doraemon no Game Boy de Asobouyo Deluxe 10|||||||
66476A|Doraemon No Study Boy 1 - Shou 1 Kokugo Kanji|Doraemon no Study Boy 1 - Shou 1 Kokugo Kanji|||||||
66478A|Doraemon No Study Boy 2 - Shou 1 Sansuu Keisan|Doraemon no Study Boy 2 - Shou 1 Sansuu Keisan|||||||
66480A|Doraemon No Study Boy 3 - Ku Ku Master|Doraemon no Study Boy 3 - Ku Ku Master|||||||
66482A|Doraemon No Study Boy 4 - Shou Ni Kokugo Kanji|Doraemon no Study Boy 4 - Shou ni Kokugo Kanji|||||||
66484A|Doraemon No Study Boy 5 - Shou 2 Sansuu Keisan|Doraemon no Study Boy 5 - Shou 2 Sansuu Keisan|||||||
66486A|Doraemon No Study Boy 6 - Gakushuu Kanji Master 1006|Doraemon no Study Boy 6 - Gakushuu Kanji Master 10|||||||
66490A|Doraemon Taiketsu Himitsudougu!!|Doraemon Taiketsu HimitsuDougu!!|||||||
3044AA|Double Dragon|Double Dragon||Sports,Action,Beat'em Up,|2||Technos Japan Corp.|Tradewest, Inc.|1990
